pkgs,contents,urls
fuzzyjoin,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
maps,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
countrycode,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
WDI,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
widyr,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
tidytext,2021_03_23_un_votes.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_03_23_un_votes.Rmd
knitr,2021_04_06_deforestation.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_06_deforestation.Rmd
tidyverse,2021_04_06_deforestation.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_06_deforestation.Rmd
tidytuesdayR,2021_04_06_deforestation.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_06_deforestation.Rmd
scales,2021_04_06_deforestation.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_06_deforestation.Rmd
tidytext,2021_04_06_deforestation.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_06_deforestation.Rmd
fuzzyjoin,2021_04_06_deforestation.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_06_deforestation.Rmd
ggthemes,2021_04_06_deforestation.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_06_deforestation.Rmd
maps,2021_04_06_deforestation.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_06_deforestation.Rmd
knitr,2021_04_13_post_offices.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_13_post_offices.Rmd
tidyverse,2021_04_13_post_offices.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_13_post_offices.Rmd
tidytuesdayR,2021_04_13_post_offices.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_13_post_offices.Rmd
scales,2021_04_13_post_offices.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_13_post_offices.Rmd
ggthemes,2021_04_13_post_offices.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_04_13_post_offices.Rmd
